,Brand,model,Year,Age,kmDriven,Transmission,Owner,FuelType,Price
6638,Maruti Suzuki,Baleno,2018.0,6.0,67000.0,Automatic,second,Petrol,525000.0
6639,Maruti Suzuki,Ciaz,2016.0,8.0,67000.0,Manual,first,Petrol,449000.0
6640,Ford,Ecosport,2019.0,5.0,40860.0,Automatic,first,Hybrid/CNG,775000.0
6641,Volkswagen,VentoTest,2012.0,12.0,90000.0,Manual,first,Petrol,290000.0
6642,Maruti Suzuki,Eeco,2019.0,5.0,81520.0,Automatic,first,Hybrid/CNG,360000.0
6643,Hyundai,Verna,2019.0,5.0,52000.0,Manual,second,Hybrid/CNG,695000.0
6644,Hyundai,i20,2013.0,11.0,68000.0,Manual,second,Hybrid/CNG,379000.0
6645,Honda,City,2012.0,12.0,60000.0,Automatic,second,Hybrid/CNG,321000.0
6646,Maruti Suzuki,Swift,2023.0,1.0,30000.0,Manual,first,Hybrid/CNG,765000.0
6647,Volkswagen,VentoTest,2013.0,11.0,65000.0,Automatic,first,Petrol,349000.0
6648,Maruti Suzuki,Ciaz,2017.0,7.0,93000.0,Manual,second,Diesel,600000.0
6649,Tata,Zest,2018.0,6.0,190000.0,Manual,first,Diesel,250000.0
6650,Mercedes-Benz,S-Class,2008.0,16.0,70000.0,Automatic,second,Diesel,1000000.0
6651,Maruti Suzuki,Eeco,2023.0,1.0,35000.0,Automatic,second,Hybrid/CNG,510000.0
6652,Maruti Suzuki,Wagon-R-1-0,2017.0,7.0,84127.0,Manual,first,Petrol,375000.0
6653,Honda,City,2019.0,5.0,37000.0,Automatic,second,Petrol,935000.0
6654,Renault,Duster,2017.0,7.0,58000.0,Manual,first,Diesel,555000.0
6655,Tata,Tigor,2020.0,4.0,61000.0,Automatic,first,Hybrid/CNG,561000.0
6656,Maruti Suzuki,Wagon-R-1-0,2013.0,11.0,70000.0,Manual,second,Petrol,220000.0
6657,Nissan,Magnite,2022.0,2.0,17000.0,Manual,first,Petrol,745000.0
6658,Maruti Suzuki,Celerio,2015.0,9.0,72000.0,Automatic,second,Petrol,367000.0
6659,Tata,Indica V2,2010.0,14.0,82000.0,Manual,first,Diesel,135000.0
6660,Hyundai,Grand i10 Nios,2021.0,3.0,20121.0,Manual,second,Petrol,665000.0
6661,Maruti Suzuki,Eeco,2019.0,5.0,95000.0,Automatic,first,Hybrid/CNG,430000.0
6662,Toyota,Fortuner,2015.0,9.0,168000.0,Manual,first,Diesel,1551000.0
6663,Mahindra,XUV 300,2021.0,3.0,17000.0,Manual,second,Petrol,925000.0
6664,Maruti Suzuki,Ertiga,2023.0,1.0,62000.0,Manual,first,Hybrid/CNG,1260000.0
6665,Maruti Suzuki,Ertiga,2020.0,4.0,47000.0,Automatic,first,Hybrid/CNG,995000.0
6666,Maruti Suzuki,Swift,2010.0,14.0,130000.0,Manual,first,Diesel,370000.0
6667,Mahindra,Bolero,2018.0,6.0,48248.0,Manual,second,Diesel,750000.0
6668,Mahindra,Bolero Neo,2022.0,2.0,42000.0,Manual,first,Diesel,905000.0
6669,Honda,City,2015.0,9.0,71800.0,Manual,second,Hybrid/CNG,470000.0
6670,Maruti Suzuki,Wagon-R,2015.0,9.0,85000.0,Manual,second,Petrol,298000.0
6671,Maruti Suzuki,Swift-Dzire,2013.0,11.0,41000.0,Automatic,first,Hybrid/CNG,385000.0
6672,Renault,Duster,2013.0,11.0,86000.0,Manual,second,Diesel,225000.0
6673,Maruti Suzuki,Celerio,2017.0,7.0,64000.0,Automatic,second,Hybrid/CNG,390000.0
6674,Maruti Suzuki,Swift-Dzire,2010.0,14.0,150549.0,Manual,first,Diesel,380000.0
6675,Honda,City,2014.0,10.0,65000.0,Automatic,first,Petrol,380000.0
6676,Honda,City,2017.0,7.0,45000.0,Automatic,second,Petrol,775000.0
6677,Maruti Suzuki,Swift,2015.0,9.0,45000.0,Manual,first,Hybrid/CNG,345000.0
6678,Maruti Suzuki,Eeco,2022.0,2.0,56000.0,Automatic,first,Hybrid/CNG,500000.0
6679,Maruti Suzuki,Eeco,2021.0,3.0,50000.0,Automatic,second,Petrol,480000.0
6680,Maruti Suzuki,XL6,2019.0,5.0,68738.0,Manual,first,Hybrid/CNG,900000.0
6681,Maruti Suzuki,800,2016.0,8.0,75000.0,Automatic,second,Hybrid/CNG,200000.0
6682,Mahindra,Ssangyong Rexton,2013.0,11.0,65000.0,Automatic,second,Diesel,575000.0
6683,Maruti Suzuki,Ertiga,2015.0,9.0,56800.0,Manual,second,Hybrid/CNG,699999.0
6684,BMW,5 Series,2013.0,11.0,54000.0,Automatic,first,Diesel,1100000.0
6685,Toyota,Corolla,2008.0,16.0,55000.0,Automatic,second,Petrol,295000.0
6686,Maruti Suzuki,Alto-800,2016.0,8.0,59521.0,Manual,first,Petrol,245000.0
6687,Hyundai,Santro,2011.0,13.0,100000.0,Manual,second,Hybrid/CNG,125000.0
6688,Ford,Ecosport,2019.0,5.0,126353.0,Manual,second,Diesel,780000.0
6689,Hyundai,New i20,2020.0,4.0,48298.0,Automatic,second,Petrol,945000.0
6690,Maruti Suzuki,Alto-K10,2018.0,6.0,27000.0,Automatic,first,Petrol,365000.0
